date,title,source,keyword,text,is_regulation,asset,sentiment_label,sentiment_score,sentiment_confidence
2026-03-25,Stocks rise and oil dips on hopes of 15-point Iran peace plan,The Guardian,digital currency,"Stocks rise and oil dips on hopes of 15-point Iran peace plan Markets in Asia, Europe and US move higher after Iran says it will permit ‘non-hostile’ ships through strait of Hormuz",0,OTHER,negative,-0.7867662310600281,0.7867662310600281
2026-03-25,Afternoon Update: ABC staff strike; Australia opposes Israel occupation in Lebanon; and the perils of a crammed Test cricket summer,The Guardian,digital currency,"Afternoon Update: ABC staff strike; Australia opposes Israel occupation in Lebanon; and the perils of a crammed Test cricket summer More than 2,000 staff  walked off the job at 11am for 24 hours, forcing services across TV, radio and digital to use BBC content and repeat programming",1,OTHER,negative,-0.9546368718147278,0.9546368718147278
2026-03-25,What are the rules on cryptocurrency donations to UK political parties?,The Guardian,bitcoin,What are the rules on cryptocurrency donations to UK political parties? Temporary ban on crypto donations is being introduced after review into countering foreign interference in politics,1,OTHER,neutral,0.0,0.7273011803627014
2026-03-25,There are no missiles raining down on Havana. But what I saw there was still warfare,The Guardian,digital currency,"There are no missiles raining down on Havana. But what I saw there was still warfare Trump’s oil blockade is starving the island of vital resources. His brute force isn’t making America great again – it’s breeding resentment across the globe, says Guardian columnist Owen Jones",0,OTHER,negative,-0.6078835129737854,0.6078835129737854
2026-03-26,Creator of AI actor Tilly Norwood says she received death threats over project,The Guardian,digital currency,Creator of AI actor Tilly Norwood says she received death threats over project Eline van der Velden says she developed her ‘digital twin’ to provoke discussion but backlash from some has been worse than expected,0,OTHER,negative,-0.9535914659500122,0.9535914659500122
2026-03-26,Orwell: 2+2=5 review – documentary portrait doesn’t wholly add up,The Guardian,crypto SEC,Orwell: 2+2=5 review – documentary portrait doesn’t wholly add up Raoul Peck’s film about the Nineteen Eighty-Four novelist makes a compelling case for its continuing relevance but could ask more searching questions about its author,0,OTHER,neutral,0.0,0.8176367282867432
2026-03-26,How will we know Labour is really cleaning up party funding? When Reform and the Tories fight like hell to stop it,The Guardian,crypto SEC,"How will we know Labour is really cleaning up party funding? When Reform and the Tories fight like hell to stop it Banning crypto donations is a start, but here’s what Keir Starmer really needs to do to make his the party of decent politics, says Guardian columnist Polly Toynbee",1,OTHER,neutral,0.0,0.7969053387641907
2026-03-26,Trump signature to appear on US currency in first for sitting president,The Guardian,digital currency,Trump signature to appear on US currency in first for sitting president Treasurer’s signature to be removed for first time since 1861 in change made to mark US’s 250th anniversary,0,OTHER,neutral,0.0,0.5991677045822144
2026-03-26,"The nerdy, authentic Oklahoma City Thunder are a breath of fresh air",The Guardian,digital currency,"The nerdy, authentic Oklahoma City Thunder are a breath of fresh air The relatable, endearing authenticity of Shai Gilgeous-Alexander and the defending NBA champions is a wonder to behold",0,OTHER,neutral,0.0,0.8467833995819092
2026-03-26,UK politics: Trump says UK’s aircraft carriers are just ‘toys’ – as it happened,The Guardian,crypto SEC,UK politics: Trump says UK’s aircraft carriers are just ‘toys’ – as it happened The comments were part of a broader address in which he condemned Nato allies,0,OTHER,neutral,0.0,0.5384364128112793
2026-03-27,Five firms including Autotrader and Just Eat investigated over fake review failings,The Guardian,cryptocurrency regulation,"Five firms including Autotrader and Just Eat investigated over fake review failings CMA also looks into Pasta Evangelists, funeral operator Dignity and review company Feefo in latest crackdown",1,OTHER,negative,-0.8283485770225525,0.8283485770225525
2026-03-27,‘Unserious’ pop music is also worthy of Radio 4 coverage,The Guardian,digital currency,"‘Unserious’ pop music is also worthy of Radio 4 coverage <strong>Letters:</strong> Don’t assume all Today listeners enjoy the same things, writes <strong>Eve Orange</strong>. Plus a letter from <strong>Henry Fryer</strong>",0,OTHER,neutral,0.0,0.7995445728302002
2026-03-27,How I swapped burnout for simplicity – and you can too with these easy fixes,The Guardian,digital currency,"How I swapped burnout for simplicity – and you can too with these easy fixes Daisy Morris, a community and content strategist, describes how she embarked on a quest for inner calm – and found that the answer wasn’t in green juices and wellness classes",0,OTHER,neutral,0.0,0.8408451080322266
2026-03-27,I was paid to write fake Google reviews – then my ‘bosses’ tried to scam me,The Guardian,cryptocurrency regulation,I was paid to write fake Google reviews – then my ‘bosses’ tried to scam me Undercover reporter gets a taste of the sprawling fraud industry in which cryptocurrencies play a crucial role,1,OTHER,neutral,0.0,0.8901514410972595
2026-03-27,Trump news at a glance: president tries to stop chaos at airports,The Guardian,digital currency,"Trump news at a glance: president tries to stop chaos at airports Donald Trump said he will take executive action to pay 50,000 airport security workers as a deal stalled in Congress to address staff shortages – key US politics stories from 26 March 2026",1,OTHER,negative,-0.7071775794029236,0.7071775794029236
2026-03-29,Harry Enfield and No Chums! review – the head of our comedy state takes a trip down memory lane,The Guardian,digital currency,"Harry Enfield and No Chums! review – the head of our comedy state takes a trip down memory lane From Stavros to Wayne Slob, Loadsamoney to DJ Dave Nice, the 64-year-old distilled whole characters and social types",0,OTHER,neutral,0.0,0.9015177488327026
2026-03-30,"Urgent action needed to prevent surge in digital violence in Africa, experts say",The Guardian,digital currency,"Urgent action needed to prevent surge in digital violence in Africa, experts say A huge rise in internet users under the age of 30 has fuelled an increase in online violence against women and girls with devastating real-life effects, activists say",0,OTHER,negative,-0.8486421704292297,0.8486421704292297
2026-03-30,"Will Trump bring peace, or more bombs? Shady speculators seem to bet right every time",The Guardian,bitcoin,"Will Trump bring peace, or more bombs? Shady speculators seem to bet right every time The president may not be benefiting directly from betting markets, but he has encouraged a culture that treats politics like a casino floor, says Guardian columnist Nesrine Malik",0,OTHER,neutral,0.0,0.8466894626617432
2026-03-30, UK savers told to act now before Easter Sunday cash Isa deadline ,The Guardian,digital currency, UK savers told to act now before Easter Sunday cash Isa deadline  Interest rates as high as 4.45% and a steep cut in next year’s allowance fuel forecast of last-minute rush,0,OTHER,negative,-0.8116191029548645,0.8116191029548645
2026-03-30,"For Democrats, fighting Trump isn’t enough anymore",The Guardian,cryptocurrency regulation,"For Democrats, fighting Trump isn’t enough anymore A New York congressional primary is exposing the gap between Democrats who want to fight Trump and Democrats who want to fight for something",0,OTHER,negative,-0.8801923394203186,0.8801923394203186
2026-03-30,California to impose new AI regulations in defiance of Trump call ,The Guardian,cryptocurrency regulation,California to impose new AI regulations in defiance of Trump call  Gavin Newsom signs order to prioritize public safety and rights as president seeks to prevent ‘cumbersome’ rules,1,OTHER,negative,-0.42672666907310486,0.42672666907310486
2026-03-31,Ron DeSantis signs bill renaming Palm Beach airport after Donald Trump,The Guardian,digital currency,"Ron DeSantis signs bill renaming Palm Beach airport after Donald Trump If approved, move is latest in series of buildings, warships, institutions, programs and currency named after president",0,OTHER,neutral,0.0,0.8657454252243042
2026-03-31,‘Women who speak out must be exterminated’: the rising tide of digital violence facing Ethiopian activists,The Guardian,digital currency,"‘Women who speak out must be exterminated’: the rising tide of digital violence facing Ethiopian activists Feminists and rights defenders say online threats have rapidly escalated, forcing some to leave the country for their safety",0,OTHER,negative,-0.8977984189987183,0.8977984189987183
2026-03-31,"Does anyone think Matt Goodwin’s book on Britain’s demise is a publishing sensation? I mean, other than him ",The Guardian,bitcoin,"Does anyone think Matt Goodwin’s book on Britain’s demise is a publishing sensation? I mean, other than him  Who needs critics when the Reform man is so adept at patting his own back, asks Guardian columnist Marina Hyde",0,OTHER,neutral,0.0,0.8376055359840393
2026-03-31,UK aviation regulator rejects Heathrow’s plans to significantly raise landing fees,The Guardian,cryptocurrency regulation,"UK aviation regulator rejects Heathrow’s plans to significantly raise landing fees Heathrow wanted changes to fund upgrade, but airlines warned cost increases would be passed on to passengers",0,OTHER,positive,0.8853575587272644,0.8853575587272644
2026-03-31,‘Should never have been prescribed’: private UK cannabis clinics face call for tighter regulation,The Guardian,cryptocurrency regulation,‘Should never have been prescribed’: private UK cannabis clinics face call for tighter regulation Family pushing for greater controls after inquest finds Oliver Robinson’s prescription was ‘obstacle’ to proper care,1,OTHER,negative,-0.6742788553237915,0.6742788553237915
2026-03-31,The UK has a chance to pioneer pornography regulation – it must take it,The Guardian,cryptocurrency regulation,"The UK has a chance to pioneer pornography regulation – it must take it The crime bill proposes a stronger model of consent – and with violent imagery and child sexual abuse soaring, who, really, can argue against it? says author Susanna Rustin",1,OTHER,neutral,0.0,0.8256173729896545
2026-03-31,Opaque party funding affects all of British politics,The Guardian,crypto SEC,Opaque party funding affects all of British politics <strong>Letters: </strong>Readers respond to an article about Labour’s attempt to clean up donations to political parties,0,OTHER,neutral,0.0,0.6237366199493408
2026-04-01,Why is gaming becoming so expensive? The answer is found in AI,The Guardian,crypto SEC,Why is gaming becoming so expensive? The answer is found in AI We are paying more for a PlayStation so that idiots can use ChatGPT to mislead people on dating apps – something is rotten in the state of gaming,0,OTHER,neutral,0.0,0.5929359793663025
2026-04-01,Invisible plumes and ‘terrible pollution’: the reality of the US gas sites rated ‘grade A’,The Guardian,cryptocurrency regulation,Invisible plumes and ‘terrible pollution’: the reality of the US gas sites rated ‘grade A’ Exclusive: Guardian investigation into reliability of methane certification issued by MiQ reveals weakness of voluntary model,0,OTHER,neutral,0.0,0.5917273759841919
2026-04-01,Politician alleges NSW Corrections illegally snooped on her calls with prisoners,The Guardian,cryptocurrency regulation,Politician alleges NSW Corrections illegally snooped on her calls with prisoners <strong>Exclusive:</strong> Greens MLC Sue Higginson tells parliament that Corrective Services knew things ‘which made it very clear they had monitored our conversation’,1,OTHER,negative,-0.5639384388923645,0.5639384388923645
2026-04-01,Oil tumbles and UK’s FTSE 100 posts biggest daily rise in a year on hopes Middle East war will end soon – as it happened ,The Guardian,bitcoin,"Oil tumbles and UK’s FTSE 100 posts biggest daily rise in a year on hopes Middle East war will end soon – as it happened  Brent crude prices have fallen sharply, while the FTSE 100 is up 1.8% and government bonds are rallying",0,OTHER,negative,-0.837388813495636,0.837388813495636
2026-04-01,Housebuilder Berkeley to halt buying new land and hiring staff,The Guardian,cryptocurrency regulation,Housebuilder Berkeley to halt buying new land and hiring staff Group cuts costs as shares plunge while it grapples with impact of Iran war on property market,0,OTHER,negative,-0.9573642015457153,0.9573642015457153
2026-04-01,Say hello to the UK’s most successful growth industry: organised waste crime,The Guardian,cryptocurrency regulation,"Say hello to the UK’s most successful growth industry: organised waste crime Thanks to a sustained ideological assault on regulation, our country has been turned into a literal dump, says Guardian columnist George Monbiot",1,OTHER,negative,-0.724788248538971,0.724788248538971
2026-04-01,Why every woman can see herself in the story of a German celebrity couple’s split,The Guardian,digital currency,"Why every woman can see herself in the story of a German celebrity couple’s split Many will recognise their own experiences of digital abuse in Collien Fernandes’s allegations – technology offers perpetrators both tools and cover, says Guardian Europe columnist Fatma Aydemir",0,OTHER,neutral,0.0,0.766934871673584
2026-04-02,First Thing: Trump claims Iran war is ‘nearing completion’ in address to nation,The Guardian,crypto SEC,"First Thing: Trump claims Iran war is ‘nearing completion’ in address to nation Democrats criticize speech as doing little to answer Americans’ ‘most basic questions’. Plus, how rap lyrics were used to help sentence a man to death",0,OTHER,negative,-0.7143298387527466,0.7143298387527466
2026-04-02,"US government sues Illinois, alleging unlawful efforts to regulate prediction markets",The Guardian,cryptocurrency regulation,"US government sues Illinois, alleging unlawful efforts to regulate prediction markets Booming prediction market sites, such as Kalshi and Polymarket, face scrutiny from states and Congress",1,OTHER,negative,-0.9116177558898926,0.9116177558898926
2026-04-02,World’s oldest tortoise caught in viral crypto death scam,The Guardian,cryptocurrency regulation,World’s oldest tortoise caught in viral crypto death scam Fake X account posing as his vet sparked global false reports of Jonathan’s death while soliciting crypto donations,0,SOL,negative,-0.7947737574577332,0.7947737574577332
2026-04-02,"Polymarket and other prediction platforms driving oil market, traders say",The Guardian,cryptocurrency regulation,"Polymarket and other prediction platforms driving oil market, traders say Datafeeds from platforms being used to create algorithms that determine multimillion-dollar trades on global market",0,OTHER,neutral,0.0,0.8945565819740295
2026-04-02,Artist files war crime case in Paris over Israeli strike that killed parents in Lebanon,The Guardian,digital currency,Artist files war crime case in Paris over Israeli strike that killed parents in Lebanon Lebanese-French man Ali Cherri demands investigation into Beirut bombing as possible war crime against civilians,1,OTHER,negative,-0.6313129663467407,0.6313129663467407
2026-04-02,Oil price jumps and markets slide after Trump warning to Iran,The Guardian,digital currency,Oil price jumps and markets slide after Trump warning to Iran Brent crude rises 8% as US president vows to hit Iran ‘extremely hard’ over coming weeks,0,OTHER,negative,-0.8871071934700012,0.8871071934700012
2026-04-02,Court dismisses former WhatsApp security chief’s lawsuit against Meta,The Guardian,crypto SEC,"Court dismisses former WhatsApp security chief’s lawsuit against Meta Abdullah Baig alleged Meta ignored flaws putting billions at risk, but a US judge ruled he lacked sufficient evidence",1,OTHER,negative,-0.8779036998748779,0.8779036998748779
2026-04-02,Why admin dates are the new nights out: my mission to make paperwork fun,The Guardian,digital currency,"Why admin dates are the new nights out: my mission to make paperwork fun Self-confessed procrastinator Daisy Morris, a community and content strategist, invites fellow creatives to join her as she sets out to bring order to her inbox",0,OTHER,neutral,0.0,0.8774810433387756
2026-04-02,The US-Israel war on Iran is accelerating de-dollarization and America’s decline,The Guardian,digital currency,"The US-Israel war on Iran is accelerating de-dollarization and America’s decline De-dollarization promises to reorder the world, reducing American power globally",0,OTHER,negative,-0.9379912614822388,0.9379912614822388
2026-04-03,Labour challenges Farage over cost of private jet trip to Maldives,The Guardian,cryptocurrency regulation,"Labour challenges Farage over cost of private jet trip to Maldives Anna Turley questions revised £25,000 figure for failed attempt to reach Chagos Islands on jet linked to billionaire",0,OTHER,negative,-0.8975849151611328,0.8975849151611328
2026-04-03,Trump’s Iran war is now beyond rhyme or reason,The Guardian,crypto SEC,"Trump’s Iran war is now beyond rhyme or reason <strong>Letters: </strong>This new ‘world order’, where rogue nations can pick and choose their next acquisitions, gives the green light to other bad actors, writes <strong>David Tayler</strong>. Plus letters from <strong>Peter Gregory</strong>, <strong>Rev Graham Murphy</strong> and <strong>John Gittings</strong>",0,OTHER,neutral,0.0,0.8138391375541687
2026-04-03,"‘Vegas hotel meets aerospace bling’: Trump’s presidential library plan is a gaudy, self-glorifying monstrosity",The Guardian,digital currency,"‘Vegas hotel meets aerospace bling’: Trump’s presidential library plan is a gaudy, self-glorifying monstrosity From JFK’s modernist concrete to Obama’s ‘Tatooine sandcrawler’, the presidential library is where egos burnish their legacies. But the brash, bookless vibe of Trump’s, complete with giant golden statue, makes for the ugliest yet",0,OTHER,neutral,0.0,0.8658841848373413
2026-04-03,"‘Every night they are bombarding’: at border crossing, some Iranians are fleeing war and some are heading home",The Guardian,crypto SEC,"‘Every night they are bombarding’: at border crossing, some Iranians are fleeing war and some are heading home People leaving Iran tell of impact of bombs and internet blackouts, while others are heading the other way to be closer to relatives in peril",0,OTHER,negative,-0.8031829595565796,0.8031829595565796
2026-04-04,NCAA women’s Final Four: UCLA 51-44 Texas; South Carolina 62-48 UConn – as it happened,The Guardian,crypto SEC,NCAA women’s Final Four: UCLA 51-44 Texas; South Carolina 62-48 UConn – as it happened <strong>Rolling report: </strong>South Carolina took down UConn and UCLA held off Texas in a defensive slugfest to set up Sunday’s national championship matchup,0,OTHER,neutral,0.0,0.5884151458740234
2026-04-04,A Fox host says ‘many people’ think women shouldn’t be president. Thank goodness we’ve got a man in charge,The Guardian,crypto SEC,A Fox host says ‘many people’ think women shouldn’t be president. Thank goodness we’ve got a man in charge Jesse Watters gave a litany of reasons why women shouldn’t lead before denying he agreed. But peddling these ideas normalizes them,0,OTHER,neutral,0.0,0.8880523443222046
2026-04-04,‘Unconstrained’ Trump seems to be on a quest to name most everything after himself,The Guardian,digital currency,"‘Unconstrained’ Trump seems to be on a quest to name most everything after himself President has affixed his name to institutions and edifices, and his visage now glowers from several federal buildings",0,OTHER,neutral,0.0,0.7897043228149414
2026-04-04,"‘Wild west’ reformer pilates boom is causing rise in injuries, experts warn",The Guardian,cryptocurrency regulation,"‘Wild west’ reformer pilates boom is causing rise in injuries, experts warn Lack of regulation for specialist classes leaves UK fitness enthusiasts at risk, say professional bodies",1,OTHER,negative,-0.9562476873397827,0.9562476873397827
2026-04-05,An AI bot invited me to its party in Manchester. It was a pretty good night,The Guardian,crypto SEC,"An AI bot invited me to its party in Manchester. It was a pretty good night After forgetting the nibbles, turning down my costume requests and emailing GCHQ, ‘Gaskell’ did at least get us to show up",0,OTHER,positive,0.6574710011482239,0.6574710011482239
2026-04-05,"The Guardian view on Japan’s hidden century: cheap money, global risk",The Guardian,digital currency,"The Guardian view on Japan’s hidden century: cheap money, global risk <strong>Editorial:</strong> Ultra-low rates turned the yen into easy cash for bankers. But the carry trade now binds global markets to decisions in Tokyo",1,OTHER,negative,-0.4491695463657379,0.4491695463657379
2026-04-05,Trump news at a glance: Administration fights to renew work on White House ballroom,The Guardian,digital currency,Trump news at a glance: Administration fights to renew work on White House ballroom An emergency motion argues that the pause on construction leaves the White House ‘open and exposed’. Key US politics stories from Saturday 4 April at a glance,0,OTHER,neutral,0.0,0.5603261590003967
2026-04-06,We’ve gone mad for puzzles. This makes sense – it’s reassuring to have answers in these perplexing times,The Guardian,bitcoin,"We’ve gone mad for puzzles. This makes sense – it’s reassuring to have answers in these perplexing times Our world feels chaotic, confusing and unfair, but puzzles offer clear rules, solvable problems and reward for effort expended, says Foreign Policy Research Institute fellow Joseph de Weck",0,SOL,neutral,0.0,0.7579172253608704
2026-04-06,"Private jets, deserted shores and an unbuilt resort: alleged links to sanctioned ‘scam’ empire revealed in Timor-Leste",The Guardian,bitcoin,"Private jets, deserted shores and an unbuilt resort: alleged links to sanctioned ‘scam’ empire revealed in Timor-Leste <strong>Exclusive:</strong> Investigation finds alleged Prince Group associates were involved in unusual development in tiny nation on Australia’s doorstep, raising concerns about global spread of online fraud industry",1,OTHER,negative,-0.9128550887107849,0.9128550887107849
2026-04-06,"Morning Mail: ‘scam’ empire links alleged in Timor-Leste, Trump says Iran could be ‘taken out tomorrow night’",The Guardian,bitcoin,"Morning Mail: ‘scam’ empire links alleged in Timor-Leste, Trump says Iran could be ‘taken out tomorrow night’ Guardian investigation raises concerns about global spread of online fraud industry; Tehran rejects proposals for ceasefire as Trump makes more threats",1,OTHER,negative,-0.916931688785553,0.916931688785553
2026-04-07,"Hedge fund borrowing exposes emerging markets to greater Iran war risk, says IMF",The Guardian,cryptocurrency regulation,"Hedge fund borrowing exposes emerging markets to greater Iran war risk, says IMF Analysis shows developing economies more likely to experience higher interest rates and currency shocks",0,OTHER,positive,0.7117677330970764,0.7117677330970764
2026-04-07,The internet’s favourite format: how the PDF conquered the digital world,The Guardian,digital currency,The internet’s favourite format: how the PDF conquered the digital world An Adobe expert explains why the Portable Document Format remains so popular worldwide – and what AI means for its future,0,OTHER,neutral,0.0,0.8396912813186646
2026-04-07,Two Trump moves last week could kill off future accountability for his deeds,The Guardian,crypto SEC,Two Trump moves last week could kill off future accountability for his deeds The Trump ‘library’ and an attack on the Presidential Records Act have more in common than it might seem,0,OTHER,neutral,0.0,0.6954786777496338
2026-04-07,"London Falling by Patrick Radden Keefe review – a compulsive tale of money, lies and avoidable tragedy",The Guardian,cryptocurrency regulation,"London Falling by Patrick Radden Keefe review – a compulsive tale of money, lies and avoidable tragedy A New Yorker writer traces the web of deceit that led a troubled teenager to his violent death",0,OTHER,neutral,0.0,0.7914984226226807
2026-04-08,British computer scientist denies he is bitcoin developer Satoshi Nakamoto,The Guardian,bitcoin,British computer scientist denies he is bitcoin developer Satoshi Nakamoto New York Times report claims London-born Adam Back is creator of the cryptocurrency after comparing writings,0,BTC,neutral,0.0,0.8901911973953247
2026-04-08,British crypto billionaire Ben Delo says he has given £4m to Reform UK,The Guardian,cryptocurrency regulation,"British crypto billionaire Ben Delo says he has given £4m to Reform UK Delo, pardoned by Trump after violating US banking law, describes himself as champion of free speech",1,OTHER,neutral,0.0,0.7883185744285583
2026-04-08,"Timor-Leste is vulnerable to ‘infiltration by foreign organized crime’, president José Ramos-Horta says",The Guardian,bitcoin,"Timor-Leste is vulnerable to ‘infiltration by foreign organized crime’, president José Ramos-Horta says Australian federal police say they are working with tiny nation to respond to threat of online scam centres",0,OTHER,positive,0.540484607219696,0.540484607219696
2026-04-08,Ohio man becomes first to be convicted under new AI statute for sexually explicit images,The Guardian,digital currency,"Ohio man becomes first to be convicted under new AI statute for sexually explicit images James Strahler II pleaded guilty to cyberstalking, producing obscene images and digital forgeries of child sexual abuse",0,OTHER,negative,-0.6574141383171082,0.6574141383171082
2026-04-08,Oil prices plunge and stocks jump after Trump announces conditional ceasefire with Iran,The Guardian,bitcoin,Oil prices plunge and stocks jump after Trump announces conditional ceasefire with Iran Oil heads for biggest daily fall since pandemic as Iran says it will reopen strait of Hormuz under its management,0,OTHER,negative,-0.9180099964141846,0.9180099964141846
2026-04-08,Racing open to more direct protests in campaign against affordability checks ,The Guardian,crypto SEC,"Racing open to more direct protests in campaign against affordability checks  The chief executive of the British Horseracing Authority, has revealed the sport will consider more direct action protests as they continue to battle against government plans to introduce affordability tests for punters",0,OTHER,neutral,0.0,0.4870591461658478
2026-04-09,"A Doll’s House review – sex, drugs and Romola Garai in a heroic Ibsen update",The Guardian,digital currency,"A Doll’s House review – sex, drugs and Romola Garai in a heroic Ibsen update Anya Reiss packs the marriage scandal plot with inspired ideas, from convincing talk of Instagram to a look at sexual dynamics in the crosshairs of contemporary capitalism",0,OTHER,neutral,0.0,0.857556939125061
2026-04-09,Newly created Polymarket accounts win big on well-timed Iran ceasefire bets,The Guardian,crypto SEC,Newly created Polymarket accounts win big on well-timed Iran ceasefire bets Customers make hundreds of thousands of dollars as records show substantial bets made before announcement,0,OTHER,positive,0.8939067721366882,0.8939067721366882
2026-04-09,‘Death cleaning’ can unearth treasures,The Guardian,digital currency,‘Death cleaning’ can unearth treasures <strong>Brief letters:</strong> Sorting possessions | Doomsday loo roll | HMRC ‘support’ | Irony in the US | Spelling out surnames,0,OTHER,neutral,0.0,0.877653181552887
2026-04-09,"JD Vance’s claims about Orbán, the EU and Hungary fact-checked",The Guardian,digital currency,"JD Vance’s claims about Orbán, the EU and Hungary fact-checked US vice-president said bloc tried to ‘destroy’ country’s economy, despite it being a net recipient of EU funds",0,OTHER,negative,-0.7441692352294922,0.7441692352294922
2026-04-09,Oil rises and global stocks wobble amid worries over ‘fragile’ ceasefire deal in Middle East – as it happened,The Guardian,bitcoin,Oil rises and global stocks wobble amid worries over ‘fragile’ ceasefire deal in Middle East – as it happened Rolling coverage of the latest economic and financial news,0,OTHER,negative,-0.7506592273712158,0.7506592273712158
2026-04-09,"Strait of Hormuz not open, Abu Dhabi’s oil chief says as crude prices rise",The Guardian,digital currency,"Strait of Hormuz not open, Abu Dhabi’s oil chief says as crude prices rise Uncertainty over US-Iran ceasefire pushes price of Brent crude towards $100 a barrel",0,OTHER,negative,-0.93058842420578,0.93058842420578
2026-04-09,OpenAI shelves Stargate UK in blow to Britain’s AI ambitions,The Guardian,cryptocurrency regulation,OpenAI shelves Stargate UK in blow to Britain’s AI ambitions Artificial intelligence company cites high energy costs and regulation for putting landmark project on hold,1,OTHER,negative,-0.8886511921882629,0.8886511921882629
2026-04-10,Londoners aren’t unfriendly – but don’t compare us to New Yorkers,The Guardian,digital currency,Londoners aren’t unfriendly – but don’t compare us to New Yorkers <strong>Letters: </strong>Readers respond to an article by Bim Adewunmi on encountering the reticence of British people after she spent a decade living in the US,0,OTHER,neutral,0.0,0.7690980434417725
